Persona, 03:10:49.051699, Carrusel, 03:10:49.052092, Montaña_Rusa, 03:10:49.052508
Persona, 03:10:49.069952, Barco_Pirata, 03:10:49.070350, Barco_Pirata, 03:10:49.070961
Persona, 03:10:49.086094, Carrusel, 03:10:49.086596, Carrusel, 03:10:49.087287
Persona, 03:10:49.101736, Montaña_Rusa, 03:10:49.102173, Barco_Pirata, 03:10:49.102724
Persona, 03:10:49.117081, Montaña_Rusa, 03:10:49.117510, Montaña_Rusa, 03:10:49.118176
Persona, 03:10:49.133543, Carrusel, 03:10:49.133999, Carrusel, 03:10:49.134632
Persona, 03:10:49.153941, Carrusel, 03:10:49.154288, Carrusel, 03:10:49.154963
Persona, 03:10:49.170746, Carrusel, 03:10:49.171593, Montaña_Rusa, 03:10:49.172399
Persona, 03:10:49.188228, Barco_Pirata, 03:10:49.188820, Barco_Pirata, 03:10:49.189653
Persona, 03:10:49.205116, Carrusel, 03:10:49.205679, Casa_Terror, 03:10:49.206434
Persona, 03:10:49.221557, Carrusel, 03:10:49.222220, Barco_Pirata, 03:10:49.223039
Persona, 03:10:49.308064, Barco_Pirata, 03:10:49.308627, Barco_Pirata, 03:10:49.309601
Persona, 03:10:49.333753, Barco_Pirata, 03:10:49.334331, Carrusel, 03:10:49.335284
Persona, 03:10:49.352178, Carrusel, 03:10:49.352703, Barco_Pirata, 03:10:49.353480
Persona, 03:10:49.369345, Montaña_Rusa, 03:10:49.369947, Carrusel, 03:10:49.370719
Persona, 03:10:49.386847, Montaña_Rusa, 03:10:49.387487, Barco_Pirata, 03:10:49.388233
Persona, 03:10:49.404817, Casa_Terror, 03:10:49.405484, Barco_Pirata, 03:10:49.406315
Persona, 03:10:49.472272, Barco_Pirata, 03:10:49.472798, Barco_Pirata, 03:10:49.474092
Persona, 03:10:49.490327, Carrusel, 03:10:49.490886, Montaña_Rusa, 03:10:49.491786
Persona, 03:10:49.508461, Casa_Terror, 03:10:49.508977, Casa_Terror, 03:10:49.509768
Persona, 03:10:49.525747, Carrusel, 03:10:49.526335, Casa_Terror, 03:10:56.548787
